숙박업명,구군명,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,위도,경도,주변숙박업소수,관광지_5km_내_개수,객실수_구간,평균가격_구간,공항과의거리_구간,군집,편의시설,주변 관광지,가격대,공항과의 거리
히든 클리프 호텔 앤 네이처,서귀포시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,33.2548845,126.4023408,4,30,중간 규모,고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
스위트 호텔 제주,서귀포시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,33.2493324,126.4083941,5,19,소규모,고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
제주 신라 호텔,서귀포시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,33.2471631,126.4079553,5,18,대규모,초고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
롯데호텔 제주,제주시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,33.2484468,126.4106058,22,19,대규모,초고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
WE 호텔 제주,서귀포시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,33.2861399,126.4442086,0,10,중간 규모,고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
그랜드 조선 제주,서귀포시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,33.2524795,126.4080501,5,23,중간 규모,초고가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
메이더호텔,제주시,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,33.4996213,126.5311884,0,29,소규모,저가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
라마다프라자제주호텔,제주시,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,33.518851,126.5180058,4,27,대규모,고가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
오션그랜드호텔,제주시,Y,Y,Y,Y,N,N,N,N,Y,Y,N,33.542539,126.6652655,1,14,소규모,저가,중간 거리,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
엠버시티호텔,제주시,N,N,Y,Y,N,N,N,N,N,N,N,33.486297,126.4817076,16,34,소규모,저가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
엠버호텔,제주시,N,Y,N,Y,N,N,N,N,N,Y,N,33.4897653,126.4877192,23,40,소규모,저가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
롯데시티호텔 제주,제주시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,33.4905955,126.4864277,23,40,중간 규모,중간가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
그라벨호텔,제주시,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,33.492444,126.4286588,0,15,중간 규모,중간가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
아이진호텔,제주시,Y,Y,Y,Y,N,N,N,N,Y,Y,N,33.482357,126.494834,9,42,소규모,중간가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
아스타호텔,제주시,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,33.5007962,126.5200513,1,38,중간 규모,중간가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
신라스테이제주,제주시,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,33.4854889,126.4910047,23,41,대규모,중간가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
베니키아호텔제주,제주시,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,33.477713,126.362091,2,17,중간 규모,저가,중간 거리,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
호텔더원,제주시,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,33.4827607,126.4913352,17,41,중간 규모,저가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
탐라스테이,제주시,Y,N,N,N,N,N,N,N,N,N,N,33.4867872,126.3918034,0,13,중간 규모,중간가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
어반아일랜드호텔,제주시,Y,Y,Y,Y,N,N,N,N,N,Y,N,33.4895518,126.4948146,16,42,소규모,저가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
호텔 시리우스,제주시,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,33.4933987,126.4909571,14,39,중간 규모,중간가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
그랜드하얏트 제주,제주시,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,33.4853707,126.4815713,16,34,초대규모,초고가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
다인리조트,제주시,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,33.4715798,126.3513363,2,22,소규모,중간가,중간 거리,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
올레리조트,제주시,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,33.4763001,126.3543341,3,18,소규모,고가,중간 거리,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
베스트웨스턴 제주호텔,제주시,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,33.4877957,126.4818957,17,35,대규모,중간가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
에코그린리조트,제주시,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,33.4359287,126.2915445,0,23,중간 규모,고가,원거리,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
수앤수리조트,제주시,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,33.4741902,126.3586821,3,18,소규모,중간가,중간 거리,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
그린트리인 서귀포,서귀포시,Y,Y,Y,N,N,N,N,N,Y,Y,N,33.2545606,126.5200939,2,23,대규모,저가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
더베스트제주성산,서귀포시,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,33.4496781,126.9171846,4,23,중간 규모,저가,매우 먼 거리,0,"주차장, 바, 야외수영장은 대부분 존재, 피트니스센터, 스파, 사우나 비율이 상대적으로 낮음.",평균 관광지 수 (5km 내): 18.42개,가격대: 중간가 (보통),공항과의 거리: 매우 먼 거리
골든데이지호텔서귀포오션,서귀포시,Y,N,Y,Y,N,N,N,N,Y,Y,N,33.2492258,126.567572,8,22,중간 규모,저가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
이스턴 호텔 제주,서귀포시,Y,Y,N,N,Y,N,N,N,Y,Y,N,33.2543538,126.5201647,2,23,중간 규모,저가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
라마다제주시티,제주시,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,33.4934657,126.5343138,0,32,대규모,중간가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
라마다제주함덕,제주시,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,33.5432779,126.6598387,1,14,중간 규모,중간가,중간 거리,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
라마다프라자제주,제주시,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,33.518851,126.5180058,4,27,대규모,고가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
신신호텔 제주공항,제주시,Y,Y,Y,Y,N,N,N,N,Y,Y,N,33.4922249,126.4905585,19,41,중간 규모,중간가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
제주 리젠트마린 더 블루,제주시,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,33.5176293,126.5267886,4,22,대규모,중간가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
베스트웨스턴 제주,제주시,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,33.4877957,126.4818957,17,35,대규모,저가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
브라운 스위트 제주,서귀포시,Y,N,Y,N,N,N,N,N,N,Y,N,33.4520237,126.9144746,4,24,중간 규모,중간가,매우 먼 거리,0,"주차장, 바, 야외수영장은 대부분 존재, 피트니스센터, 스파, 사우나 비율이 상대적으로 낮음.",평균 관광지 수 (5km 내): 18.42개,가격대: 중간가 (보통),공항과의 거리: 매우 먼 거리
제주 센트럴 시티,제주시,Y,Y,N,N,N,N,N,N,Y,Y,N,33.4857371,126.4874986,23,39,중간 규모,중간가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
골든튤립제주성산,서귀포시,Y,Y,Y,N,N,Y,N,N,Y,Y,N,33.4479486,126.9162124,4,23,중간 규모,중간가,매우 먼 거리,0,"주차장, 바, 야외수영장은 대부분 존재, 피트니스센터, 스파, 사우나 비율이 상대적으로 낮음.",평균 관광지 수 (5km 내): 18.42개,가격대: 중간가 (보통),공항과의 거리: 매우 먼 거리
오션팰리스,서귀포시,Y,Y,Y,Y,N,N,N,N,N,Y,N,33.2460441,126.5623037,10,22,중간 규모,저가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
코업시티성산,서귀포시,Y,Y,Y,Y,N,N,N,N,Y,Y,N,33.4659601,126.9319623,0,28,중간 규모,중간가,매우 먼 거리,0,"주차장, 바, 야외수영장은 대부분 존재, 피트니스센터, 스파, 사우나 비율이 상대적으로 낮음.",평균 관광지 수 (5km 내): 18.42개,가격대: 중간가 (보통),공항과의 거리: 매우 먼 거리
글로스터 제주,제주시,Y,Y,Y,Y,N,N,N,N,Y,Y,N,33.4900625,126.4926875,19,41,대규모,저가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
호텔위드제주,제주시,Y,Y,Y,Y,N,N,N,N,N,Y,N,33.4857667,126.4837872,20,35,중간 규모,저가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
휘슬락,제주시,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,33.5173509,126.5278,4,22,대규모,중간가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
호텔 케니 서귀포,서귀포시,Y,Y,Y,N,N,N,N,N,Y,Y,N,33.2502259,126.5651306,8,23,대규모,저가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
엠버리조트,제주시,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,33.4239409,126.489063,0,4,소규모,초고가,근접,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
